,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601318.SH,20190530,79.4,79.75,78.59,79.09,79.78,-0.69,-0.8649,488476.7,3863896.327
1,601318.SH,20190529,77.5,80.98,77.18,79.78,78.19,1.59,2.0335,968273.16,7677708.159
2,601318.SH,20190528,77.44,78.77,77.21,78.19,77.18,1.01,1.3086,893839.92,6978721.843
3,601318.SH,20190527,76.25,77.66,75.35,77.18,76.5,0.68,0.8889,589731.73,4515690.456
4,601318.SH,20190524,75.9,77.27,75.8,76.5,75.44,1.06,1.4051,512353.15,3923969.868
5,601318.SH,20190523,76.5,76.83,75.05,75.44,76.54,-1.1,-1.4372,645670.76,4884305.938
6,601318.SH,20190522,78.22,78.5,77.2,77.64,78.2,-0.56,-0.7161,516731.93,4013374.792
7,601318.SH,20190521,78.05,79.25,77.68,78.2,77.87,0.33,0.4238,630197.96,4945455.898
8,601318.SH,20190520,78.5,79.28,77.19,77.87,79.1,-1.23,-1.555,745003.9,5810214.619
9,601318.SH,20190517,81.06,81.2,78.98,79.1,80.97,-1.87,-2.3095,685802.02,5464921.484
10,601318.SH,20190516,80.82,81.53,80.0,80.97,80.54,0.43,0.5339,630831.36,5101228.351
11,601318.SH,20190515,78.95,81.37,78.9,80.54,78.3,2.24,2.8608,803300.24,6430783.48
12,601318.SH,20190514,77.96,79.4,77.85,78.3,78.65,-0.35,-0.445,782781.37,6165448.232
13,601318.SH,20190513,79.25,80.18,78.5,78.65,81.38,-2.73,-3.3546,842350.81,6668703.693
14,601318.SH,20190510,77.95,81.87,77.3,81.38,76.66,4.72,6.1571,1392098.28,11083158.281
15,601318.SH,20190509,78.26,78.26,76.11,76.66,78.78,-2.12,-2.691,1125721.86,8689046.105
16,601318.SH,20190508,78.73,80.55,78.38,78.78,81.17,-2.39,-2.9444,868375.72,6904377.645
17,601318.SH,20190507,81.78,82.28,79.89,81.17,81.2,-0.03,-0.0369,974951.29,7910860.379
18,601318.SH,20190506,82.8,83.6,79.66,81.2,86.1,-4.9,-5.6911,1808609.45,14725465.894
19,601318.SH,20190430,86.5,87.48,84.53,86.1,86.43,-0.33,-0.3818,917902.02,7894165.649
20,601318.SH,20190429,83.88,87.13,83.3,86.43,83.11,3.32,3.9947,946576.03,8097224.931
21,601318.SH,20190426,83.0,84.43,82.8,83.11,83.4,-0.29,-0.3477,648959.07,5424636.666
22,601318.SH,20190425,84.35,84.99,83.15,83.4,85.03,-1.63,-1.917,655769.28,5505578.22
23,601318.SH,20190424,86.08,86.88,83.55,85.03,86.06,-1.03,-1.1968,812851.89,6916666.438
24,601318.SH,20190423,84.75,87.38,84.5,86.06,84.96,1.1,1.2947,678116.37,5833032.636
25,601318.SH,20190422,87.22,88.09,84.5,84.96,87.0,-2.04,-2.3448,932115.2,8032960.471
26,601318.SH,20190419,85.27,87.0,84.2,87.0,84.3,2.7,3.2028,789131.96,6768190.588
27,601318.SH,20190418,84.69,85.02,83.88,84.3,84.48,-0.18,-0.2131,397287.04,3354513.849
28,601318.SH,20190417,84.92,85.35,83.8,84.48,85.01,-0.53,-0.6235,631915.6,5350101.242
29,601318.SH,20190416,81.22,85.13,80.9,85.01,81.66,3.35,4.1024,1036222.77,8642148.123
30,601318.SH,20190415,82.23,83.88,81.6,81.66,80.44,1.22,1.5167,989953.02,8203396.924
31,601318.SH,20190412,80.35,81.16,79.9,80.44,80.71,-0.27,-0.3345,526779.4,4235942.763
32,601318.SH,20190411,82.65,83.62,80.16,80.71,82.03,-1.32,-1.6092,756628.85,6180144.016
33,601318.SH,20190410,80.8,82.11,79.66,82.03,81.1,0.93,1.1467,783620.38,6347140.293
34,601318.SH,20190409,80.4,82.0,80.37,81.1,80.59,0.51,0.6328,601737.89,4887104.136
35,601318.SH,20190408,80.7,82.25,80.02,80.59,80.2,0.39,0.4863,916122.3,7448621.19
36,601318.SH,20190404,80.08,80.96,79.25,80.2,79.86,0.34,0.4257,795626.03,6378852.748
37,601318.SH,20190403,78.48,80.15,78.37,79.86,78.96,0.9,1.1398,760219.8,6045909.504
38,601318.SH,20190402,78.54,79.0,78.05,78.96,78.6,0.36,0.458,771175.4,6059549.068
39,601318.SH,20190401,78.0,79.23,77.5,78.6,77.1,1.5,1.9455,1168113.47,9182647.666
40,601318.SH,20190329,74.1,77.1,74.1,77.1,73.4,3.7,5.0409,1429355.26,10870048.907
41,601318.SH,20190328,73.4,73.94,72.88,73.4,74.22,-0.82,-1.1048,484208.75,3553347.624
42,601318.SH,20190327,73.2,74.63,72.7,74.22,72.69,1.53,2.1048,759817.76,5612313.473
43,601318.SH,20190326,72.99,73.23,72.15,72.69,72.29,0.4,0.5533,634474.72,4610495.784
44,601318.SH,20190325,73.41,73.99,72.18,72.29,74.72,-2.43,-3.2521,991052.4,7240888.365
45,601318.SH,20190322,75.76,76.26,74.06,74.72,75.8,-1.08,-1.4248,772004.28,5793145.97
46,601318.SH,20190321,77.0,77.25,75.6,75.8,76.55,-0.75,-0.9798,846258.78,6432258.633
47,601318.SH,20190320,75.06,77.48,74.75,76.55,75.35,1.2,1.5926,1078439.1,8223832.015
48,601318.SH,20190319,75.73,76.85,74.96,75.35,75.0,0.35,0.4667,1012096.56,7669753.047
49,601318.SH,20190318,74.43,75.34,73.45,75.0,73.85,1.15,1.5572,1156392.1,8622875.43
50,601318.SH,20190315,73.1,75.5,73.08,73.85,72.8,1.05,1.4423,1255246.38,9342867.722
51,601318.SH,20190314,71.77,73.2,71.7,72.8,71.54,1.26,1.7613,1055970.33,7670039.178
52,601318.SH,20190313,71.38,72.1,70.27,71.54,69.25,2.29,3.3069,1405464.08,10026174.511
53,601318.SH,20190312,69.6,70.92,68.96,69.25,68.79,0.46,0.6687,969219.01,6776280.865
54,601318.SH,20190311,68.8,69.69,68.22,68.79,68.7,0.09,0.131,751857.65,5173828.938
55,601318.SH,20190308,68.66,70.2,68.25,68.7,70.29,-1.59,-2.2621,913256.04,6295287.173
56,601318.SH,20190307,72.15,72.15,70.0,70.29,72.16,-1.87,-2.5915,1013473.08,7171432.249
57,601318.SH,20190306,72.39,72.48,71.11,72.16,72.07,0.09,0.1249,784653.61,5640683.407
58,601318.SH,20190305,72.48,72.74,71.57,72.07,72.58,-0.51,-0.7027,659680.35,4759711.07
59,601318.SH,20190304,73.0,75.1,72.21,72.58,72.39,0.19,0.2625,1263275.04,9279004.181
60,601318.SH,20190301,70.69,72.6,70.25,72.39,70.01,2.38,3.3995,920751.83,6586194.402
61,601318.SH,20190228,69.98,70.95,69.41,70.01,69.98,0.03,0.0429,598889.7,4212441.293
62,601318.SH,20190227,70.3,71.43,68.99,69.98,70.01,-0.03,-0.0429,1017663.58,7169557.279
63,601318.SH,20190226,71.71,72.6,69.92,70.01,73.0,-2.99,-4.0959,1555638.81,11039492.18
64,601318.SH,20190225,68.22,73.0,68.14,73.0,67.02,5.98,8.9227,2222382.4,15601216.19
65,601318.SH,20190222,65.36,67.07,64.8,67.02,65.39,1.63,2.4927,762218.88,5022163.621
66,601318.SH,20190221,65.8,66.68,65.09,65.39,65.88,-0.49,-0.7438,543694.01,3588406.874
67,601318.SH,20190220,66.3,66.38,65.19,65.88,65.68,0.2,0.3045,393508.82,2592496.357
68,601318.SH,20190219,65.58,67.27,65.28,65.68,65.29,0.39,0.5973,785951.46,5198252.133
69,601318.SH,20190218,63.9,65.42,63.78,65.29,63.25,2.04,3.2253,721361.06,4677674.823
70,601318.SH,20190215,64.8,65.01,63.22,63.25,65.1,-1.85,-2.8418,534011.48,3418044.695
71,601318.SH,20190214,64.88,65.4,64.78,65.1,65.02,0.08,0.123,396202.77,2577578.444
72,601318.SH,20190213,64.66,65.4,64.03,65.02,64.27,0.75,1.167,578658.13,3743367.744
73,601318.SH,20190212,64.4,64.42,63.69,64.27,64.39,-0.12,-0.1864,385193.06,2468628.211
74,601318.SH,20190211,62.88,64.51,62.88,64.39,63.21,1.18,1.8668,541815.51,3456061.479
75,601318.SH,20190201,63.5,63.78,62.85,63.21,62.98,0.23,0.3652,437924.7,2771783.993
76,601318.SH,20190131,61.8,63.19,61.55,62.98,61.25,1.73,2.8245,692265.32,4336690.723
77,601318.SH,20190130,60.88,61.86,60.78,61.25,61.65,-0.4,-0.6488,310003.23,1904411.131
78,601318.SH,20190129,61.38,61.9,60.98,61.65,61.52,0.13,0.2113,395192.94,2428493.652
79,601318.SH,20190128,61.8,62.41,61.2,61.52,61.29,0.23,0.3753,581648.84,3603129.774
80,601318.SH,20190125,60.5,61.78,60.43,61.29,60.43,0.86,1.4231,672459.11,4129885.331
81,601318.SH,20190124,59.61,60.52,59.22,60.43,59.49,0.94,1.5801,449406.18,2694967.118
82,601318.SH,20190123,59.82,60.4,59.45,59.49,60.07,-0.58,-0.9655,374932.63,2243882.42
83,601318.SH,20190122,60.6,60.64,59.74,60.07,60.79,-0.72,-1.1844,419507.61,2524729.521
84,601318.SH,20190121,59.93,61.11,59.85,60.79,59.92,0.87,1.4519,559842.77,3395168.935
85,601318.SH,20190118,59.23,60.02,58.69,59.92,58.73,1.19,2.0262,561756.65,3350801.454
86,601318.SH,20190117,59.05,59.8,58.56,58.73,58.74,-0.01,-0.017,535050.39,3168128.862
87,601318.SH,20190116,58.42,58.96,58.01,58.74,58.59,0.15,0.256,404111.83,2368178.488
88,601318.SH,20190115,57.26,58.69,57.06,58.59,57.12,1.47,2.5735,586264.87,3413728.308
89,601318.SH,20190114,57.74,57.95,56.9,57.12,58.07,-0.95,-1.636,475326.51,2723611.89
90,601318.SH,20190111,58.0,58.29,57.5,58.07,57.5,0.57,0.9913,457569.73,2650921.529
91,601318.SH,20190110,56.87,57.82,56.55,57.5,56.95,0.55,0.9658,673282.23,3858446.844
92,601318.SH,20190109,56.2,57.6,55.96,56.95,55.8,1.15,2.0609,819146.13,4673997.766
93,601318.SH,20190108,56.05,56.09,55.2,55.8,56.3,-0.5,-0.8881,559920.92,3116381.576
94,601318.SH,20190107,57.09,57.17,55.9,56.3,56.59,-0.29,-0.5125,765930.07,4326151.604
95,601318.SH,20190104,55.28,57.0,55.23,56.59,55.68,0.91,1.6343,1129855.85,6376773.583
96,601318.SH,20190103,55.15,56.33,55.06,55.68,55.18,0.5,0.9061,692711.24,3864646.451
97,601318.SH,20190102,56.04,56.18,54.94,55.18,56.1,-0.92,-1.6399,825542.43,4573024.812
98,601318.SH,20181228,57.0,57.23,56.1,56.1,56.9,-0.8,-1.406,914988.05,5177718.206
99,601318.SH,20181227,58.28,58.38,56.9,56.9,57.3,-0.4,-0.6981,751890.5,4329636.52
100,601318.SH,20181226,58.17,58.25,57.2,57.3,58.21,-0.91,-1.5633,397821.33,2293584.057
101,601318.SH,20181225,57.54,58.78,56.88,58.21,58.25,-0.04,-0.0687,664633.19,3837466.568
102,601318.SH,20181224,58.0,58.3,57.75,58.25,58.34,-0.09,-0.1543,358748.42,2084472.986
103,601318.SH,20181221,58.75,58.85,57.45,58.34,59.0,-0.66,-1.1186,739127.89,4287044.788
104,601318.SH,20181220,59.95,60.18,58.58,59.0,60.12,-1.12,-1.8629,806955.79,4779472.466
105,601318.SH,20181219,61.0,61.26,59.88,60.12,60.85,-0.73,-1.1997,515538.16,3118190.766
106,601318.SH,20181218,60.9,61.68,60.47,60.85,61.27,-0.42,-0.6855,532302.06,3244689.448
107,601318.SH,20181217,61.87,62.26,61.03,61.27,61.94,-0.67,-1.0817,712131.38,4372511.195
108,601318.SH,20181214,62.9,62.94,61.73,61.94,63.2,-1.26,-1.9937,750755.54,4664205.074
109,601318.SH,20181213,62.7,63.5,62.4,63.2,62.46,0.74,1.1848,782754.17,4938706.633
110,601318.SH,20181212,62.8,62.83,62.04,62.46,62.17,0.29,0.4665,387392.32,2415069.23
111,601318.SH,20181211,62.18,62.57,61.82,62.17,62.18,-0.01,-0.0161,419948.88,2605529.172
112,601318.SH,20181210,62.5,62.68,61.82,62.18,63.0,-0.82,-1.3016,494650.59,3075386.868
113,601318.SH,20181207,63.32,63.53,62.98,63.0,63.0,0.0,0.0,270297.17,1709048.611
114,601318.SH,20181206,63.66,63.88,62.89,63.0,64.25,-1.25,-1.9455,585865.13,3710782.048
115,601318.SH,20181205,64.05,64.6,63.98,64.25,64.89,-0.64,-0.9863,450207.12,2892938.998
116,601318.SH,20181204,64.95,65.08,64.16,64.89,64.99,-0.1,-0.1539,562473.14,3640115.194
117,601318.SH,20181203,65.2,66.05,64.77,64.99,63.49,1.5,2.3626,1121943.02,7325910.545
118,601318.SH,20181130,63.06,63.65,62.9,63.49,63.05,0.44,0.6979,349171.09,2212885.743
119,601318.SH,20181129,64.3,64.38,63.0,63.05,63.77,-0.72,-1.1291,386653.89,2460470.881
120,601318.SH,20181128,63.12,63.96,63.01,63.77,63.11,0.66,1.0458,411690.32,2616356.268
121,601318.SH,20181127,63.31,63.88,62.91,63.11,63.2,-0.09,-0.1424,375596.84,2377828.917
122,601318.SH,20181126,63.0,63.87,62.8,63.2,62.64,0.56,0.894,369989.07,2340406.531
123,601318.SH,20181123,63.15,63.59,62.52,62.64,63.14,-0.5,-0.7919,372335.17,2339115.029
124,601318.SH,20181122,64.18,64.2,62.82,63.14,64.01,-0.87,-1.3592,443683.53,2803339.519
125,601318.SH,20181121,63.53,64.14,63.53,64.01,64.1,-0.09,-0.1404,385249.31,2459066.015
126,601318.SH,20181120,65.0,65.44,63.91,64.1,65.72,-1.62,-2.465,591762.58,3810974.173
127,601318.SH,20181119,65.25,66.2,64.8,65.72,65.25,0.47,0.7203,507628.91,3324370.817
128,601318.SH,20181116,65.0,66.39,64.69,65.25,65.1,0.15,0.2304,619879.08,4063786.057
129,601318.SH,20181115,64.0,65.14,63.77,65.1,63.95,1.15,1.7983,500579.86,3231462.676
130,601318.SH,20181114,65.05,65.09,63.6,63.95,65.01,-1.06,-1.6305,573814.07,3680152.361
131,601318.SH,20181113,63.78,65.57,63.5,65.01,64.66,0.35,0.5413,520997.95,3362080.743
132,601318.SH,20181112,64.4,65.14,63.75,64.66,64.62,0.04,0.0619,458511.64,2956910.272
133,601318.SH,20181109,65.75,65.98,64.38,64.62,66.3,-1.68,-2.5339,544689.7,3544347.557
134,601318.SH,20181108,66.93,67.17,66.0,66.3,66.12,0.18,0.2722,504946.17,3364558.944
135,601318.SH,20181107,66.89,67.34,65.9,66.12,66.8,-0.68,-1.018,510658.43,3393066.441
136,601318.SH,20181106,66.2,66.8,65.8,66.8,66.58,0.22,0.3304,385081.85,2553280.683
137,601318.SH,20181105,66.5,67.05,65.7,66.58,67.35,-0.77,-1.1433,547131.86,3634382.539
138,601318.SH,20181102,66.92,67.35,65.55,67.35,64.3,3.05,4.7434,1173949.37,7821171.766
139,601318.SH,20181101,64.22,65.5,64.08,64.3,63.63,0.67,1.053,689871.09,4463737.106
140,601318.SH,20181031,63.01,63.95,62.16,63.63,62.8,0.83,1.3217,782835.25,4948893.033
141,601318.SH,20181030,60.0,64.63,59.5,62.8,62.0,0.8,1.2903,1269208.29,7969650.42
142,601318.SH,20181029,65.87,65.99,61.9,62.0,65.54,-3.54,-5.4013,1216419.42,7666491.234
143,601318.SH,20181026,66.3,66.77,64.38,65.54,66.66,-1.12,-1.6802,797411.04,5212551.961
144,601318.SH,20181025,64.2,66.66,64.2,66.66,66.25,0.41,0.6189,736202.53,4816111.122
145,601318.SH,20181024,65.78,67.85,65.56,66.25,65.51,0.74,1.1296,810632.05,5398315.014
146,601318.SH,20181023,68.0,68.32,64.88,65.51,67.93,-2.42,-3.5625,1172134.46,7814653.832
147,601318.SH,20181022,66.01,69.42,65.62,67.93,65.62,2.31,3.5203,1616881.74,10961620.26
148,601318.SH,20181019,61.99,66.1,61.88,65.62,62.45,3.17,5.0761,1138815.16,7314843.218
149,601318.SH,20181018,63.49,63.52,62.25,62.45,64.16,-1.71,-2.6652,603019.84,3788520.129
150,601318.SH,20181017,65.17,65.32,62.41,64.16,64.0,0.16,0.25,761401.92,4861851.849
151,601318.SH,20181016,63.35,65.18,63.33,64.0,63.2,0.8,1.2658,584034.99,3761333.74
152,601318.SH,20181015,63.9,64.44,63.09,63.2,63.87,-0.67,-1.049,539743.26,3437483.874
153,601318.SH,20181012,62.5,64.25,62.3,63.87,61.85,2.02,3.266,774616.71,4901391.148
154,601318.SH,20181011,62.1,63.2,61.38,61.85,64.65,-2.8,-4.331,1145327.45,7141404.125
155,601318.SH,20181010,65.09,65.58,64.2,64.65,65.0,-0.35,-0.5385,582799.02,3780647.727
156,601318.SH,20181009,64.63,65.38,64.33,65.0,64.78,0.22,0.3396,486319.08,3155728.031
157,601318.SH,20181008,66.8,66.84,64.71,64.78,68.5,-3.72,-5.4307,1128444.71,7402497.487
